STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,WASTE,Waste category,WST_OPER,Waste management operations,UNIT,Unit of measure,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_LMP,Lamps,GEN,Waste generated,TH_T,Thousand tonnes,2019,,7.619,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_LMP,Lamps,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,4.729,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_LMP,Lamps,COL,Waste collected,TH_T,Thousand tonnes,2019,,1.371,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_LE,Large equipment,GEN,Waste generated,TH_T,Thousand tonnes,2019,,102.817,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_LE,Large equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,478.723,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_LE,Large equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,92.535,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SE,Small equipment,GEN,Waste generated,TH_T,Thousand tonnes,2019,,169.364,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SE,Small equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,154.795,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SE,Small equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,27.098,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_TEE,Temperature exchange equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,205.393,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SITTE,Small IT and telecommunication equipment,GEN,Waste generated,TH_T,Thousand tonnes,2019,,45.178,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SITTE,Small IT and telecommunication equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,40.67,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,AUS,Australia,EE_SITTE,Small IT and telecommunication equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,19.004,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE6,Total waste,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,29.752,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE6,Total waste,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,13.123,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE6,Total waste,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,8.571,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_TEE,Temperature exchange equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,4.595,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_TEE,Temperature exchange equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,1.974,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_TEE,Temperature exchange equipment,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,1.467,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SME,Screens and monitors,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,1.106,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SME,Screens and monitors,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,1.289,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SME,Screens and monitors,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,0.816,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LMP,Lamps,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,0.192,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LMP,Lamps,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,0.133,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LMP,Lamps,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,0.114,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LE,Large equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,12.657,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LE,Large equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,5.09,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LE,Large equipment,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,3.462,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SE,Small equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,9.851,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SE,Small equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,3.009,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SE,Small equipment,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,1.742,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SITTE,Small IT and telecommunication equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,1.351,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SITTE,Small IT and telecommunication equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,1.628,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SITTE,Small IT and telecommunication equipment,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,0.969,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE6,Total waste,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,341.015,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE6,Total waste,COL,Waste collected,TH_T,Thousand tonnes,2019,,150.419,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE6,Total waste,RCY,Recycling,TH_T,Thousand tonnes,2019,,98.239,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_TEE,Temperature exchange equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,52.666,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_TEE,Temperature exchange equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,22.627,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_TEE,Temperature exchange equipment,RCY,Recycling,TH_T,Thousand tonnes,2019,,16.816,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SME,Screens and monitors,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,12.678,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SME,Screens and monitors,COL,Waste collected,TH_T,Thousand tonnes,2019,,14.776,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SME,Screens and monitors,RCY,Recycling,TH_T,Thousand tonnes,2019,,9.358,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LMP,Lamps,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,2.198,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LMP,Lamps,COL,Waste collected,TH_T,Thousand tonnes,2019,,1.527,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LMP,Lamps,RCY,Recycling,TH_T,Thousand tonnes,2019,,1.306,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LE,Large equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,145.075,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LE,Large equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,58.344,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_LE,Large equipment,RCY,Recycling,TH_T,Thousand tonnes,2019,,39.687,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SE,Small equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,112.914,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SE,Small equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,34.489,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SE,Small equipment,RCY,Recycling,TH_T,Thousand tonnes,2019,,19.969,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SITTE,Small IT and telecommunication equipment,MKT,Products put on the market,TH_T,Thousand tonnes,2019,,15.484,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SITTE,Small IT and telecommunication equipment,COL,Waste collected,TH_T,Thousand tonnes,2019,,18.656,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,BEL,Belgium,EE_SITTE,Small IT and telecommunication equipment,RCY,Recycling,TH_T,Thousand tonnes,2019,,11.103,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE6,Total waste,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,20.14,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_TEE,Temperature exchange equipment,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,3.568,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_SME,Screens and monitors,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,2.653,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_LMP,Lamps,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,0.244,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_LE,Large equipment,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,4.594,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_SE,Small equipment,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,7.115,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_SITTE,Small IT and telecommunication equipment,GEN,Waste generated,KG_HAB,Kilograms per capita,2019,,1.965,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE6,Total waste,GEN,Waste generated,TH_T,Thousand tonnes,2019,,757.276,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_TEE,Temperature exchange equipment,GEN,Waste generated,TH_T,Thousand tonnes,2019,,134.174,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_SME,Screens and monitors,GEN,Waste generated,TH_T,Thousand tonnes,2019,,99.774,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_LMP,Lamps,GEN,Waste generated,TH_T,Thousand tonnes,2019,,9.182,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_LE,Large equipment,GEN,Waste generated,TH_T,Thousand tonnes,2019,,172.722,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_SE,Small equipment,GEN,Waste generated,TH_T,Thousand tonnes,2019,,267.536,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CAN,Canada,EE_SITTE,Small IT and telecommunication equipment,GEN,Waste generated,TH_T,Thousand tonnes,2019,,73.888,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE6,Total waste,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,22.147,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE6,Total waste,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,9.496,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE6,Total waste,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,8.696,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_TEE,Temperature exchange equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,3.808,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_TEE,Temperature exchange equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,2.192,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_TEE,Temperature exchange equipment,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,2.176,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SME,Screens and monitors,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,1.6,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SME,Screens and monitors,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,1.508,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_SME,Screens and monitors,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,1.383,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LMP,Lamps,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,0.159,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LMP,Lamps,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,0.096,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LMP,Lamps,RCY,Recycling,KG_HAB,Kilograms per capita,2019,,0.085,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LE,Large equipment,MKT,Products put on the market,KG_HAB,Kilograms per capita,2019,,9.548,,A,,,,,,,
DATAFLOW,OECD:DF_EWASTE(1.0),E-waste,I,CZE,Czechia,EE_LE,Large equipment,COL,Waste collected,KG_HAB,Kilograms per capita,2019,,3.398,,A,,,,,,,
